Date,Wind Direction,Wind Speed (m/s)
04-01-2016 00:00,190.5,4
04-01-2016 03:00,203.3,5
04-01-2016 06:00,201.1,5.2
04-01-2016 09:00,204.9,4.1
04-01-2016 12:00,207,3.6
04-01-2016 15:00,207.1,3
04-01-2016 18:00,243.8,1.9
04-01-2016 21:00,262.1,2.9
04-02-2016 00:00,262.3,2.9
04-02-2016 03:00,271.8,2.8
04-02-2016 06:00,279.8,1.5
04-02-2016 09:00,272.3,1.3
04-02-2016 12:00,203.3,1.3
04-02-2016 15:00,188.6,2.1
04-02-2016 18:00,199.9,2.7
04-02-2016 21:00,225,2.6
04-03-2016 00:00,274.7,2.8
04-03-2016 03:00,298.9,2.2
04-03-2016 06:00,316.9,2.1
04-03-2016 09:00,328.3,3.7
04-03-2016 12:00,324.8,4.3
04-03-2016 15:00,313.1,4.6
04-03-2016 18:00,295.2,5.2
04-03-2016 21:00,296.4,5.6
04-04-2016 00:00,299.4,4.3
04-04-2016 03:00,302,4
04-04-2016 06:00,295.7,2
04-04-2016 09:00,292.1,1.4
04-04-2016 12:00,292.5,1.4
04-04-2016 15:00,325.8,0.8
04-04-2016 18:00,358.4,1.2
04-04-2016 21:00,344.1,1.8
04-05-2016 00:00,341.7,1.7
04-05-2016 03:00,351.6,1.8
04-05-2016 06:00,1.3,1.3
04-05-2016 09:00,353.9,1.2
04-05-2016 12:00,347.3,2.5
04-05-2016 15:00,318.4,3
04-05-2016 18:00,312.9,3.6
04-05-2016 21:00,309.1,3.2
04-06-2016 00:00,307.1,2.3
04-06-2016 03:00,289.4,1.5
04-06-2016 06:00,270.8,0.9
04-06-2016 09:00,245.1,0.8
04-06-2016 12:00,225.6,0.8
04-06-2016 15:00,206.9,2
04-06-2016 18:00,200.7,3.3
04-06-2016 21:00,193.2,3.8
04-07-2016 00:00,175.1,2.9
04-07-2016 03:00,182.5,3
04-07-2016 06:00,169.2,2.8
04-07-2016 09:00,168.8,2.3
04-07-2016 12:00,170.5,2.9
04-07-2016 15:00,172.1,3.7
04-07-2016 18:00,157.1,4.4
04-07-2016 21:00,141.1,5.2
04-08-2016 00:00,156.4,5.2
04-08-2016 03:00,196.5,2.5
04-08-2016 06:00,222.7,1.3
04-08-2016 09:00,201.2,0.7
04-08-2016 12:00,200.2,0.5
04-08-2016 15:00,249.7,1.2
04-08-2016 18:00,221.3,2.6
04-08-2016 21:00,245,2.8
04-09-2016 00:00,265.4,2.4
04-09-2016 03:00,279.8,2.3
04-09-2016 06:00,277.5,2.6
04-09-2016 09:00,289.4,2.5
04-09-2016 12:00,296.6,2.2
04-09-2016 15:00,294.9,2.6
04-09-2016 18:00,318.9,2.8
04-09-2016 21:00,315.9,2.9
04-10-2016 00:00,336.8,2.7
04-10-2016 03:00,334.8,3.3
04-10-2016 06:00,334.3,3.5
04-10-2016 09:00,326.9,2.6
04-10-2016 12:00,305.7,2.8
04-10-2016 15:00,292.2,2.4
04-10-2016 18:00,287,2.8
04-10-2016 21:00,279.8,2.4
04-11-2016 00:00,292.5,0.6
04-11-2016 03:00,158.9,0.6
04-11-2016 06:00,145.2,1.1
04-11-2016 09:00,155.9,2.3
04-11-2016 12:00,160.5,2.9
04-11-2016 15:00,164.1,3.3
04-11-2016 18:00,174.4,3.6
04-11-2016 21:00,172.9,2.6
04-12-2016 00:00,171.5,2.6
04-12-2016 03:00,187.1,2.9
04-12-2016 06:00,174.8,2.2
04-12-2016 09:00,170.1,2.4
04-12-2016 12:00,197.6,1.1
04-12-2016 15:00,277.5,1.6
04-12-2016 18:00,288.7,2.6
04-12-2016 21:00,286.4,3.2
04-13-2016 0:00,282.2,1.8
04-13-2016 3:00,292.9,1.8
04-13-2016 6:00,291.3,1.9
04-13-2016 9:00,305.6,2
04-13-2016 12:00,327,2.6
04-13-2016 15:00,325.7,2.7
04-13-2016 18:00,330,2
04-13-2016 21:00,336.6,2
04-14-2016 0:00,334.5,1
04-14-2016 3:00,9.8,0.6
04-14-2016 6:00,9.8,0.8
04-14-2016 9:00,357.1,0.4
04-14-2016 12:00,59.6,1
04-14-2016 15:00,354.8,0.8
04-14-2016 18:00,351.4,1.8
04-14-2016 21:00,0.1,2.3
04-15-2016 0:00,5.5,1.4
04-15-2016 3:00,30.6,0.8
04-15-2016 6:00,53.4,0.6
04-15-2016 9:00,40.1,0.6
04-15-2016 12:00,67.4,1.2
04-15-2016 15:00,32.5,2.4
04-15-2016 18:00,19.5,2.6
04-15-2016 21:00,10.7,2.8
04-16-2016 0:00,13.4,1.4
04-16-2016 3:00,27.1,1.1
04-16-2016 6:00,49.6,0.5
04-16-2016 9:00,68,0.4
04-16-2016 12:00,59,0.8
04-16-2016 15:00,55.1,1.3
04-16-2016 18:00,28.3,1.1
